Time,R_8it,R_10bit,R_12bit
16:28:22,"16562.498,","16612.902,",16635.877
16:28:24,"16562.498,","16599.064,",16618.562
16:28:25,"16562.498,","16640.623,",16641.076
16:28:26,"16562.498,","16626.756,",16613.379
16:28:27,"16562.498,","16599.064,",16646.277
16:28:28,"16562.498,","16710.182,",16670.578
16:28:29,"16562.498,","16585.238,",16639.342
16:28:30,"16562.498,","16654.508,",16653.219
16:28:31,"16562.498,","16612.902,",16628.949
16:28:32,"16562.498,","16585.238,",16615.104
16:28:34,"16562.498,","16612.902,",16632.412
16:28:35,"16020.410,","16585.238,",16625.492
16:28:36,"16562.498,","16585.238,",16539.213
16:28:37,"16562.498,","16696.242,",16674.047
16:28:38,"16562.498,","16640.623,",16549.533
16:28:39,"16562.498,","16557.631,",16606.457
16:28:40,"16562.498,","16640.623,",16632.412
16:28:41,"16562.498,","16557.631,",16634.145
16:28:42,"16562.498,","16599.064,",16622.023
16:28:44,"16562.498,","16571.428,",16611.645
16:28:45,"16562.498,","16626.756,",16654.947
16:28:46,"16562.498,","16654.508,",16641.076
16:28:47,"16562.498,","16640.623,",16674.047
16:28:48,"16562.498,","16612.902,",16616.834
16:28:49,"16842.109,","16738.107,",16639.342
16:28:50,"16562.498,","16640.623,",16606.457
