Time,Res_8_bit,Res_10_bit,Res_12_bit
16:38:04,11250.001,11171.356,11154.045
16:38:05,11074.382,11040.724,11103.897
16:38:06,11074.382,11162.597,11173.733
16:38:08,11074.382,11101.486,11115.865
16:38:09,11250.001,11180.123,11127.85
16:38:10,10901.641,11118.909,11135.482
16:38:11,11074.382,11092.782,11093.026
16:38:12,10731.709,11049.382,10992.465
16:38:13,10901.641,11110.196,11107.157
16:38:14,10901.641,10963.113,11007.54
16:38:15,10901.641,11014.793,11041.002
16:38:16,11074.382,10963.113,10980.634
16:38:18,10901.641,10954.525,10994.617
16:38:19,10901.641,10954.525,11007.54
16:38:20,10731.709,10843.522,10893.926
16:38:21,10901.641,10784.233,10833.334
16:38:22,10731.709,10725.286,10776.258
16:38:23,10731.709,10708.501,10621.412
16:38:24,10564.517,10600.083,10660.95
16:38:25,10564.517,10600.083,10616.219
16:38:27,10564.517,10600.083,10640.122
16:38:28,10564.517,10641.648,10624.528
16:38:29,10564.517,10633.319,10654.695
16:38:30,10731.709,10608.38,10666.162
16:38:31,10901.641,10675.019,10718.442
16:38:32,10564.517,10583.501,10660.95
16:38:33,10731.709,10600.083,10630.764
16:38:34,10731.709,10501.002,10563.423
16:38:35,10400.001,10517.452,10489.342
16:38:37,10400.001,10550.422,10470.906
16:38:38,10400.001,10509.222,10563.423
16:38:39,10564.517,10616.687,10553.103
16:38:40,10400.001,10550.422,10517.062
16:38:41,10400.001,10517.452,10543.821
16:38:42,10400.001,10468.188,10430.055
16:38:43,10400.001,10419.161,10451.48
16:38:44,10400.001,10394.739,10463.743
16:38:45,10564.517,10337.972,10525.285
16:38:47,10564.517,10484.581,10524.258
16:38:48,10564.517,10550.422,10608.959
16:38:49,10564.517,10608.38,10571.686
16:38:50,10564.517,10624.999,10598.593
16:38:51,10731.709,10649.979,10627.645
16:38:52,10564.517,10583.501,10605.846
16:38:53,10564.517,10583.501,10626.604
16:38:54,10400.001,10591.787,10645.324
16:38:55,10564.517,10616.687,10603.773
16:38:57,10564.517,10624.999,10603.773
16:38:58,10564.517,10633.319,10583.061
16:38:59,10564.517,10616.687,10529.403
16:39:00,10238.096,10533.922,10539.701
16:39:01,10564.517,10517.452,10517.062
16:39:02,10400.001,10468.188,10509.866
16:39:03,10400.001,10427.316,10472.952
16:39:04,10238.096,10492.788,10397.488
16:39:06,10400.001,10451.818,10435.153
16:39:07,10238.096,10337.972,10409.69
16:39:08,10400.001,10378.486,10417.83
16:39:09,10400.001,10346.063,10342.774
16:39:10,10400.001,10394.739,10366.042
16:39:11,10238.096,10346.063,10357.942
16:39:12,10564.517,10419.161,10317.54
16:39:13,10400.001,10281.522,10316.53
16:39:14,10238.096,10273.486,10260.241
16:39:16,10078.741,10297.619,10223.222
16:39:17,10238.096,10313.743,10218.229
16:39:18,10238.096,10225.386,10262.247
16:39:19,10238.096,10265.452,10325.607
16:39:20,10238.096,10249.406,10322.581
16:39:21,10238.096,10329.888,10329.643
16:39:22,10238.096,10305.677,10274.285
16:39:23,10078.741,10281.522,10286.336
16:39:24,10400.001,10281.522,10266.258
16:39:26,10238.096,10297.619,10297.397
16:39:27,10564.517,10209.403,10284.328
16:39:28,10238.096,10249.406,10271.271
16:39:29,10238.096,10249.406,10235.214
16:39:30,10400.001,10257.426,10207.254
16:39:31,10238.096,10217.392,10177.384
16:39:32,10078.741,10145.727,10180.367
16:39:33,9921.876,10129.87,10173.409
16:39:34,9921.876,10074.567,10134.724
16:39:36,10078.741,10121.951,10163.477
16:39:37,10078.741,10098.232,10069.596
16:39:38,10078.741,10090.338,10098.159
16:39:39,9921.876,10043.104,10077.466
16:39:40,10078.741,9996.091,10038.167
16:39:41,9921.876,9980.469,10042.091
16:39:42,10078.741,10098.232,9977.558
16:39:43,10238.096,10058.824,10032.287
16:39:45,9921.876,10074.567,10079.437
16:39:46,9767.441,10137.795,9987.309
16:39:47,10078.741,10011.737,9958.084
16:39:48,10078.741,10019.569,9952.25
16:39:49,10078.741,9949.298,10021.512
16:39:50,9767.441,10035.253,9959.059
16:39:51,9921.876,10043.104,10031.305
16:39:52,9921.876,9925.983,9964.897
16:39:53,10078.741,9902.724,9914.408
16:39:55,9767.441,9887.248,9850.695
16:39:56,9767.441,9840.962,9862.251
16:39:57,9767.441,9864.077,9860.322
16:39:58,9767.441,9710.983,9759.698
16:39:59,9767.441,9718.581,9698.864
16:40:00,9767.441,9673.077,9687.499
16:40:01,9615.385,9665.513,9661.033
16:40:02,9615.385,9688.222,9657.259
16:40:03,9615.385,9673.077,9650.655
16:40:05,9615.385,9642.857,9692.233
16:40:06,9615.385,9642.857,9606.436
16:40:07,9615.385,9567.713,9613.009
16:40:08,9615.385,9597.701,9544.674
16:40:09,9465.648,9575.2,9558.677
16:40:10,9615.385,9493.141,9526.966
16:40:11,9615.385,9582.695,9513.938
16:40:12,9465.648,9552.751,9546.54
16:40:13,9465.648,9463.47,9508.361
16:40:15,9318.182,9530.355,9416.785
16:40:16,9615.385,9522.901,9509.29
16:40:17,9465.648,9441.276,9499.999
16:40:18,9465.648,9470.88,9430.605
16:40:19,9465.648,9382.342,9421.39
16:40:20,9318.182,9382.342,9350.724
16:40:21,9318.182,9367.663,9385.532
16:40:22,9318.182,9316.465,9288.742
16:40:24,9172.933,9287.331,9250.659
16:40:25,9172.933,9229.322,9235.286
16:40:26,9318.182,9272.797,9236.188
16:40:27,9318.182,9251.035,9309.662
16:40:28,9172.933,9243.792,9222.644
16:40:29,9172.933,9142.963,9248.849
16:40:30,9172.933,9236.556,9223.549
16:40:31,9172.933,9142.963,9228.063
16:40:32,9029.851,9128.646,9145.354
16:40:34,9318.182,9135.802,9124.791
16:40:35,9029.851,9142.963,9210.021
16:40:36,9172.933,9092.946,9127.469
16:40:37,9172.933,9121.495,9167.758
16:40:38,9172.933,9092.946,9162.378
16:40:39,9172.933,9135.802,9149.831
16:40:40,9029.851,9121.495,9120.326
16:40:41,9029.851,9157.303,9087.35
16:40:42,9029.851,9092.946,9004.967
16:40:44,9029.851,9043.187,9043.854
16:40:45,9029.851,9057.378,9044.741
16:40:46,9029.851,9078.702,9057.146
16:40:47,9029.851,9007.803,8966.236
16:40:48,8888.89,9021.942,8982.941
16:40:49,9029.851,9057.378,8994.387
16:40:50,9029.851,9029.018,9074.9
16:40:51,9029.851,9064.479,9097.141
16:40:52,9172.933,9157.303,9124.791
16:40:54,9029.851,9135.802,9166.862
16:40:55,9172.933,9171.663,9208.217
16:40:56,9172.933,9207.66,9227.156
16:40:57,9172.933,9222.097,9228.963
16:40:58,9172.933,9229.322,9215.429
16:40:59,9172.933,9186.046,9259.713
16:41:00,9172.933,9207.66,9201.913
16:41:01,9029.851,9100.074,9190.214
16:41:03,9172.933,9171.663,9191.113
16:41:04,9172.933,9150.131,9180.328
16:41:05,9172.933,9222.097,9166.862
16:41:06,9318.182,9193.245,9194.712
16:41:07,9172.933,9171.663,9185.719
16:41:08,9318.182,9243.792,9219.037
16:41:09,9172.933,9092.946,9156.999
16:41:10,9172.933,9150.131,9151.624
16:41:11,9172.933,9114.35,9154.31
16:41:13,8888.89,9100.074,9156.999
16:41:14,9029.851,9100.074,9102.487
16:41:15,9029.851,9150.131,9130.151
16:41:16,9029.851,9142.963,9153.414
16:41:17,9172.933,9114.35,9128.362
16:41:18,9029.851,9128.646,9126.576
16:41:19,8888.89,9107.209,9009.377
16:41:20,8888.89,9029.018,9051.828
16:41:21,8888.89,8979.592,9012.906
16:41:23,8478.261,8944.444,9004.083
16:41:24,9029.851,9014.869,8989.104
16:41:25,9029.851,8944.444,8982.061
16:41:26,9029.851,8902.438,8928.538
16:41:27,8750,8874.538,8843.181
16:41:28,8750,8902.438,8889.248
16:41:29,8750,8756.875,8752.577
16:41:30,8750,8777.532,8783.543
16:41:32,8888.89,8881.506,8869.23
16:41:33,8888.89,8846.721,8892.733
16:41:34,8750,8860.619,8870.968
16:41:35,8888.89,8895.456,8927.663
16:41:36,8888.89,8902.438,8875.317
16:41:37,8888.89,8937.431,8882.281
16:41:38,8750,8958.487,8919.793
16:41:39,8888.89,8916.42,8969.751
16:41:40,8888.89,8888.479,8849.253
16:41:42,8888.89,8763.756,8799.927
16:41:43,8750,8729.403,8756.872
16:41:44,8613.139,8661.071,8678.16
16:41:45,8613.139,8654.267,8629.727
16:41:46,8478.261,8572.985,8615.328
16:41:47,8613.139,8593.237,8531.088
16:41:48,8478.261,8552.774,8517.68
16:41:49,8613.139,8479.045,8491.76
16:41:50,8478.261,8492.406,8448.439
16:41:52,8345.324,8339.907,8423.54
16:41:53,8478.261,8399.281,8400.359
16:41:54,8345.324,8339.907,8381.361
16:41:55,8345.324,8372.845,8375.589
16:41:56,8345.324,8459.039,8444.285
16:41:57,8345.324,8452.381,8505.964
16:41:58,8478.261,8386.054,8498.442
16:41:59,8613.139,8492.406,8510.984
16:42:00,8613.139,8572.985,8527.736
16:42:02,8478.261,8600,8549.556
16:42:03,8478.261,8606.766,8564.691
16:42:04,8613.139,8552.774,8682.421
16:42:05,8613.139,8613.537,8647.541
16:42:06,8613.139,8667.883,8667.093
16:42:07,8613.139,8627.093,8656.886
16:42:08,8478.261,8647.466,8644.993
16:42:09,8478.261,8661.071,8669.645
16:42:11,8613.139,8627.093,8694.362
16:42:12,8613.139,8661.071,8586.603
16:42:13,8478.261,8633.88,8591.666
16:42:14,8478.261,8606.766,8578.17
16:42:15,8478.261,8525.896,8595.887
16:42:16,8478.261,8572.985,8613.636
16:42:17,8478.261,8572.985,8609.406
16:42:18,8613.139,8593.237,8642.448
16:42:19,8613.139,8606.766,8590.821
16:42:21,8613.139,8586.482,8628.879
16:42:22,8613.139,8552.774,8598.419
16:42:23,8478.261,8532.608,8556.279
16:42:24,8345.324,8485.725,8523.546
16:42:25,8478.261,8505.789,8426.025
16:42:26,8478.261,8366.248,8495.101
16:42:27,8345.324,8452.381,8434.32
16:42:28,8478.261,8366.248,8447.607
16:42:29,8214.285,8366.248,8387.966
16:42:31,8345.324,8254.818,8306.584
16:42:32,8214.285,8339.907,8322.967
16:42:33,8345.324,8300.537,8295.953
16:42:34,8345.324,8287.451,8337.737
16:42:35,8214.285,8254.818,8317.23
16:42:36,8214.285,8300.537,8309.041
16:42:37,8214.285,8248.305,8254.357
16:42:38,8214.285,8202.846,8287.782
16:42:39,8478.261,8248.305,8335.272
16:42:41,8345.324,8164.062,8322.148
16:42:42,8214.285,8300.537,8282.882
16:42:43,8345.324,8333.334,8291.049
16:42:44,8214.285,8287.451,8304.131
16:42:45,8345.324,8313.641,8403.667
16:42:46,8345.324,8372.845,8353.353
16:42:47,8214.285,8353.068,8333.633
16:42:48,8085.106,8326.764,8342.665
16:42:50,8478.261,8372.845,8368.171
16:42:51,8345.324,8248.305,8315.591
16:42:52,8085.106,8254.818,8269.831
16:42:53,8085.106,8280.914,8280.435
16:42:54,8345.324,8196.37,8191.107
16:42:55,8085.106,8222.302,8197.573
16:42:56,8214.285,8176.973,8246.224
16:42:57,8214.285,8189.9,8224.299
16:42:58,8214.285,8157.615,8234.851
16:43:00,8214.285,8189.9,8227.544
16:43:01,8345.324,8215.812,8214.573
16:43:02,8214.285,8215.812,8230.791
16:43:03,8214.285,8228.794,8207.283
16:43:04,8085.106,8267.856,8228.355
16:43:05,8214.285,8183.434,8204.854
16:43:06,8085.106,8196.37,8225.11
16:43:07,8085.106,8106.194,8182.222
16:43:08,8085.106,8112.606,8135.518
